date;tkr;index;PE;EPSttm;insiderOwn;shsOutstand;perfWeek;marketCap;forwardPE;EPSnextY;insiderTrans;shsFloat;perfMonth;income;PEG;EPSnextQ;instOwn;shortFloat;perfQuarter;sales;PS;EPSthisY;instTrans;shortRatio;perfHalfY;bookSh;PB;EPSnextYprc;ROA;targetPrice;perfYear;cashSh;PC;EPSnext5Y;ROE;Range52W;perfYTD;div;PFCF;EPSpast5Y;ROI;High52W;beta;divPrc;quickRatio;salesPast5Y;grossMargin;low52W;ATR;emp;currentRatio;salesQQ;operMargin;RSI;volatility;optionable;debtEq;EPSQQ;profitMargin;relVolume;prevClose;shortable;LTdebtEq;earnings;payout;avgVolume;price;recom;SMA20;SMA50;SMA200;volume;change
20171224;MTD;S&P 500;37.3;16.48;0.4;2.518E7;-3.93;1.54799995E10;31.04;19.8;-43.37;2.501E7;-1.85;4.368E8;2.55;5.93;94.6;1.77;-1.73;2.66E9;5.83;14.0;-3.2;3.33;3.13;20.03;30.69;12.97;19.2;638.91;45.31;6.72;91.54;14.63;94.5;408.97 - 694.48;46.88;0.0;47.12;11.6;28.9;-11.48;1.09;0.0;1.1;1.7;57.8;50.32;10.08;14200;1.5;7.4;21.1;38.54;1.95 1.7;Yes;2.08;5.9;16.4;1.35;618.43;Yes;2.05;Feb 01 AMC;0.0;132870.0;614.77;2.4;-1.87;-4.07;4.87;179200;-0.59
20171224;FLT;null;32.39;5.88;0.5;8.88E7;0.18;1.69100001E10;19.55;9.74;-4.4;8.864E7;6.62;5.5290003E8;1.95;2.32;98.2;0.0;22.62;2.15000013E9;7.85;23.4;-4.22;0.0;32.74;37.8;5.04;15.38;5.4;202.46;33.75;9.4;20.26;16.62;16.7;121.52 - 192.51;34.58;0.0;25.84;22.0;8.1;-1.06;1.52;0.0;0.8;28.7;95.0;56.73;2.8;7100;0.8;19.3;39.8;68.14;1.08 1.54;Yes;1.32;60.4;25.7;0.4;191.18;Yes;0.86;Jan 31 AMC;0.0;772490.0;190.46;1.7;2.59;7.6;23.31;308519;-0.38
20171224;AGR;null;23.74;2.15;82.04;3.0452E8;-2.54;1.552E10;21.22;2.4;0.0;5.55E7;-1.45;6.65E8;2.83;0.65;14.7;8.92;8.24;5.92E9;2.62;93.9;4.15;11.04;11.58;49.12;1.04;8.19;2.1;51.25;34.69;0.09;574.98;8.4;4.4;37.19 - 53.46;34.58;1.73;0.0;4.7;4.1;-4.64;0.0;3.39;0.6;3.1;78.3;37.08;0.88;6801;0.7;-5.4;18.8;46.08;1.7 1.63;Yes;0.38;-9.1;11.2;0.98;50.6;Yes;0.31;Jan 23 BMO;80.4;448410.0;50.98;2.1;-1.9;-0.03;9.2;437611;0.75
20171224;KKR;null;10.65;1.99;0.3;8.1185997E8;5.37;1.7200001E10;8.78;2.41;2.31;8.1185997E8;8.5;9.8950003E8;0.18;0.55;69.9;1.06;7.46;2.82E9;6.09;-41.3;0.86;3.42;16.18;13.53;1.57;-1.91;2.4;23.73;29.62;4.64;4.57;60.48;16.6;15.3 - 21.39;37.62;0.68;0.0;133.1;0.8;-0.98;1.51;3.21;0.0;21.4;0.0;38.43;0.34;1200;0.0;0.8;23.7;71.18;2.01 1.65;Yes;3.18;-58.7;35.1;0.77;21.15;Yes;3.18;Jan 25 BMO;30.8;2520000.0;21.18;2.1;5.82;6.15;11.51;1934895;0.14
20171224;QSR;null;42.5;1.44;3.48;2.4158E8;0.46;1.48E10;23.04;2.66;-36.46;1.944E8;-6.95;0.0;2.27;0.56;83.91;4.1;-4.15;4.4499999E9;3.32;25.9;0.0;5.64;-1.86;9.0;6.81;33.7;0.0;72.0;27.96;0.0;0.0;18.73;0.0;46.88 - 68.89;28.58;0.84;0.0;38.53;0.0;-11.05;0.0;1.37;0.0;0.0;0.0;30.72;1.09;4300;0.0;12.4;0.0;38.89;1.45 1.9;Yes;0.0;3.3;0.0;0.63;62.01;Yes;0.0;Jan 25 BMO;0.0;1410000.0;61.28;2.2;-1.41;-4.74;0.32;886679;-1.18
20171224;OMC;S&P 500;14.67;5.02;0.2;2.312E8;-1.08;1.70200003E10;13.54;5.44;-2.15;2.2882E8;6.88;1.18E9;1.82;1.55;0.0;9.49;-2.98;1.53400003E10;1.11;7.0;3.0;8.56;-11.02;10.91;6.75;6.21;5.3;81.27;-14.56;8.01;9.19;8.05;52.1;65.32 - 87.43;-13.51;2.4;22.78;7.5;19.8;-15.81;1.24;3.26;0.8;2.1;26.0;12.69;1.48;78500;0.9;-1.9;13.3;55.12;1.55 2.29;Yes;1.97;6.9;7.7;0.69;74.08;Yes;1.95;Jan 16 BMO;43.5;2540000.0;73.61;2.9;0.64;3.63;-5.74;1752140;-0.63
20171224;O;S&P 500;45.85;1.22;0.2;2.79670016E8;-2.7;1.56199997E10;44.22;1.26;-1.85;2.79670016E8;-0.78;3.263E8;7.16;0.31;72.3;7.44;-3.59;1.19E9;13.09;3.9;3.76;12.01;-1.12;26.69;2.09;6.58;2.4;58.63;-0.85;0.01;4881.12;6.4;4.7;52.85 - 63.6;-2.84;2.55;87.65;4.3;2.4;-12.19;0.3;4.57;0.0;21.8;94.1;5.68;0.74;154;0.0;10.7;27.6;50.08;1.63 1.25;Yes;0.79;17.2;27.4;0.57;55.25;Yes;0.79;Jan 24 AMC;204.6;1730000.0;55.85;2.8;-0.08;0.1;-2.0;985432;1.09
20171224;APA;S&P 500;24.75;1.73;0.1;3.8046E8;8.72;1.63300004E10;74.5;0.58;-2.56;3.80350016E8;3.3;6.66E8;0.0;0.13;98.0;6.96;-4.77;5.6700001E9;2.88;87.4;-0.07;7.77;-7.14;18.4;2.33;1340.0;3.0;47.25;-35.71;4.85;8.84;0.0;10.0;38.14 - 67.2;-32.39;1.0;9.79;-18.3;-8.4;-36.15;1.07;2.33;1.4;-20.6;74.6;12.51;1.25;3727;1.5;-10.7;9.3;60.98;3.36 3.11;Yes;1.21;110.9;11.7;0.74;43.31;Yes;1.13;Feb 01 BMO;57.2;3410000.0;42.91;3.0;4.83;3.17;-6.04;2516917;-0.92
20171224;AWK;S&P 500;30.68;2.95;0.1;1.7745E8;-0.34;1.60599992E10;27.5;3.29;-12.48;1.7745E8;2.09;5.28E8;4.12;0.66;85.6;2.7;9.74;3.34E9;4.81;-1.1;2.04;5.26;11.45;31.0;2.92;9.41;2.8;94.4;24.94;0.52;172.7;7.45;9.9;69.96 - 92.37;25.08;1.66;0.0;8.6;6.3;-2.01;0.29;1.83;0.5;4.4;58.6;29.37;1.3;6800;0.5;0.6;36.2;54.24;1.45 1.43;Yes;1.35;36.4;15.8;0.7;89.7;Yes;1.21;Jan 31 AMC;53.3;910890.0;90.51;2.4;0.16;1.72;10.45;640682;0.9
20171224;YUMC;null;27.07;1.51;0.1;3.838E8;0.81;1.56899994E10;25.21;1.62;-4.91;3.83790016E8;0.59;5.81E8;2.33;0.18;82.5;1.74;4.5;6.8899999E9;2.28;61.3;4.15;3.04;1.06;7.44;5.49;14.07;14.4;46.22;56.23;4.09;10.0;11.62;22.1;25.53 - 43.55;56.47;0.4;26.19;-51.9;20.0;-6.15;0.0;0.98;1.5;3.9;50.4;60.09;0.93;420000;1.7;8.2;11.2;50.33;2.26 2.15;Yes;0.0;5.7;8.4;0.4;41.09;Yes;0.01;Jan 04 AMC;6.5;2200000.0;40.87;2.1;0.16;-0.85;9.93;881865;-0.54
